"OBJECTID","LAYER_NAME","FEATURE_VALUE"
1929,HOUSINGDISTRICT,"5"
1930,HOUSINGDISTRICT,"2"
1931,HOUSINGDISTRICT,"2"
1932,HOUSINGDISTRICT,"4"
1933,HOUSINGDISTRICT,"4"
1934,HOUSINGDISTRICT,"3"
1935,HOUSINGDISTRICT,"9"
1936,HOUSINGDISTRICT,"4"
1937,HOUSINGDISTRICT,"9"
1938,HOUSINGDISTRICT,"5"
1939,HOUSINGDISTRICT,"1"
1940,HOUSINGDISTRICT,"5"
1941,HOUSINGDISTRICT,"5"
1395,SANITATIONDISTRICT,"212"
1396,SANITATIONDISTRICT,"212"
1397,SANITATIONDISTRICT,"212"
1398,SANITATIONDISTRICT,"212"
1399,SANITATIONDISTRICT,"212"
1400,SANITATIONDISTRICT,"211"
1401,SANITATIONDISTRICT,"211"
1402,SANITATIONDISTRICT,"211"
1403,SANITATIONDISTRICT,"210"
1404,SANITATIONDISTRICT,"210"
1405,SANITATIONDISTRICT,"210"
1406,SANITATIONDISTRICT,"209"
1407,SANITATIONDISTRICT,"209"
1408,SANITATIONDISTRICT,"209"
1409,SANITATIONDISTRICT,"209"
1410,SANITATIONDISTRICT,"208"
1411,SANITATIONDISTRICT,"301"
1412,SANITATIONDISTRICT,"302"
1413,SANITATIONDISTRICT,"302"
1414,SANITATIONDISTRICT,"302"
1415,SANITATIONDISTRICT,"308"
1416,SANITATIONDISTRICT,"308"
1417,SANITATIONDISTRICT,"208"
1418,SANITATIONDISTRICT,"310"
1419,SANITATIONDISTRICT,"502"
1420,SANITATIONDISTRICT,"407"
1421,SANITATIONDISTRICT,"311"
1422,SANITATIONDISTRICT,"318"
1423,SANITATIONDISTRICT,"305"
1424,SANITATIONDISTRICT,"411"
1425,SANITATIONDISTRICT,"408"
1426,SANITATIONDISTRICT,"501"
1427,SANITATIONDISTRICT,"108"
1428,SANITATIONDISTRICT,"401"
1429,SANITATIONDISTRICT,"405"
1430,SANITATIONDISTRICT,"301"
1431,SANITATIONDISTRICT,"303"
1432,SANITATIONDISTRICT,"104"
1433,SANITATIONDISTRICT,"401"
1434,SANITATIONDISTRICT,"401"
1435,SANITATIONDISTRICT,"401"
1436,SANITATIONDISTRICT,"401"
1437,SANITATIONDISTRICT,"401"
1438,SANITATIONDISTRICT,"402"
1439,SANITATIONDISTRICT,"402"
1440,SANITATIONDISTRICT,"402"
1441,SANITATIONDISTRICT,"403"
1442,SANITATIONDISTRICT,"403"
1443,SANITATIONDISTRICT,"403"
1444,SANITATIONDISTRICT,"408"
1445,SANITATIONDISTRICT,"410"
1446,SANITATIONDISTRICT,"410"
1447,SANITATIONDISTRICT,"410"
1448,SANITATIONDISTRICT,"410"
1449,SANITATIONDISTRICT,"413"
1450,SANITATIONDISTRICT,"413"
1451,SANITATIONDISTRICT,"413"
1452,SANITATIONDISTRICT,"413"
1453,SANITATIONDISTRICT,"413"
1454,SANITATIONDISTRICT,"413"
1455,SANITATIONDISTRICT,"413"
1456,SANITATIONDISTRICT,"413"
1457,SANITATIONDISTRICT,"405"
1458,SANITATIONDISTRICT,"317"
1459,SANITATIONDISTRICT,"317"
1460,SANITATIONDISTRICT,"317"
1461,SANITATIONDISTRICT,"301"
1462,SANITATIONDISTRICT,"301"
1463,SANITATIONDISTRICT,"301"
1464,SANITATIONDISTRICT,"112"
1465,SANITATIONDISTRICT,"201"
1466,SANITATIONDISTRICT,"307"
1467,SANITATIONDISTRICT,"307"
1468,SANITATIONDISTRICT,"307"
1469,SANITATIONDISTRICT,"307"
1470,SANITATIONDISTRICT,"310"
1471,SANITATIONDISTRICT,"310"
1472,SANITATIONDISTRICT,"310"
1473,SANITATIONDISTRICT,"311"
1474,SANITATIONDISTRICT,"311"
1475,SANITATIONDISTRICT,"311"
1476,SANITATIONDISTRICT,"311"
1477,SANITATIONDISTRICT,"311"
1478,SANITATIONDISTRICT,"312"
1479,SANITATIONDISTRICT,"312"
1480,SANITATIONDISTRICT,"312"
1481,SANITATIONDISTRICT,"312"
1482,SANITATIONDISTRICT,"312"
1483,SANITATIONDISTRICT,"312"
1484,SANITATIONDISTRICT,"314"
1485,SANITATIONDISTRICT,"314"
1486,SANITATIONDISTRICT,"314"
1487,SANITATIONDISTRICT,"314"
1488,SANITATIONDISTRICT,"313"
1489,SANITATIONDISTRICT,"313"
1490,SANITATIONDISTRICT,"315"
1491,SANITATIONDISTRICT,"315"
1492,SANITATIONDISTRICT,"315"
1493,SANITATIONDISTRICT,"315"
1494,SANITATIONDISTRICT,"315"
1495,SANITATIONDISTRICT,"318"
1496,SANITATIONDISTRICT,"318"
1497,SANITATIONDISTRICT,"318"
1498,SANITATIONDISTRICT,"318"
1499,SANITATIONDISTRICT,"318"
1500,SANITATIONDISTRICT,"318"
1501,SANITATIONDISTRICT,"306"
1502,SANITATIONDISTRICT,"306"
1503,SANITATIONDISTRICT,"306"
1504,SANITATIONDISTRICT,"306"
1505,ZIP CODE,"11372"
1506,ZIP CODE,"11004"
1507,ZIP CODE,"11040"
1508,ZIP CODE,"11426"
1509,ZIP CODE,"11365"
1510,ZIP CODE,"11373"
1511,ZIP CODE,"11001"
1512,ZIP CODE,"11375"
1513,ZIP CODE,"11427"
1514,ZIP CODE,"11374"
1515,ZIP CODE,"11366"
1516,ZIP CODE,"11423"
1517,ZIP CODE,"11428"
1518,ZIP CODE,"11432"
1519,ZIP CODE,"11379"
1520,ZIP CODE,"11429"
1521,ZIP CODE,"11435"
1522,ZIP CODE,"11415"
1523,ZIP CODE,"11418"
1524,ZIP CODE,"11433"
1525,ZIP CODE,"11451"
1526,ZIP CODE,"11221"
1527,ZIP CODE,"11421"
1528,ZIP CODE,"11419"
1529,ZIP CODE,"11434"
1530,ZIP CODE,"11216"
1531,ZIP CODE,"11416"
